"payment_date";"title"
"2007-04-08 17:31:41.996577";"Academy Dinosaur"
"2007-03-02 18:41:36.996577";"Academy Dinosaur"
"2007-03-21 19:56:09.996577";"Academy Dinosaur"
"2007-02-17 18:52:26.996577";"Academy Dinosaur"
"2007-04-07 09:09:57.996577";"Academy Dinosaur"
"2007-04-30 20:31:00.996577";"Academy Dinosaur"
"2007-03-22 23:29:27.996577";"Academy Dinosaur"
"2007-04-30 20:04:33.996577";"Academy Dinosaur"
"2007-03-22 22:25:03.996577";"Academy Dinosaur"
"2007-03-01 23:15:45.996577";"Academy Dinosaur"
"2007-03-21 17:01:08.996577";"Academy Dinosaur"
"2007-02-20 22:58:52.996577";"Academy Dinosaur"
"2007-04-07 19:27:32.996577";"Academy Dinosaur"
"2007-04-27 06:19:37.996577";"Academy Dinosaur"
"2007-03-20 22:58:58.996577";"Academy Dinosaur"
"2007-02-15 01:26:17.996577";"Academy Dinosaur"
"2007-04-10 11:35:57.996577";"Academy Dinosaur"
"2007-04-29 08:10:04.996577";"Academy Dinosaur"
"2007-03-21 23:12:34.996577";"Academy Dinosaur"
"2007-04-30 20:36:55.996577";"Academy Dinosaur"
"2007-03-18 17:04:42.996577";"Academy Dinosaur"
