"film_id";"title";"max"
251;"Dragonfly Strangers";2006
106;"Bulworth Commandments";2006
120;"Caribbean Liberty";2006
285;"English Bulworth";2006
681;"Pirates Roxanne";2006
866;"Sunset Racer";2006
264;"Dwarfs Alter";2006
887;"Thief Pelican";2006
601;"Moulin Wake";2006
664;"Patriot Roman";2006
802;"Sky Miracle";2006
647;"Outfield Massacre";2006
497;"Kill Brotherhood";2006
452;"Illusion Amelie";2006
496;"Kick Savannah";2006
455;"Impossible Prejudice";2006
630;"Notting Speakeasy";2006
209;"Darkness War";2006
276;"Element Freddy";2006
665;"Patton Interview";2006
577;"Mile Mulan";2006
606;"Mummy Creatures";2006
850;"Story Side";2006
801;"Sister Freddy";2006
550;"Maguire Apache";2006
599;"Mother Oleander";2006
856;"Streetcar Intentions";2006
756;"Saddle Antitrust";2006
807;"Sleuth Orient";2006
151;"Cincinatti Whisperer";2006
872;"Sweet Brotherhood";2006
384;"Grosse Wonderful";2006
921;"Uncut Suicides";2006
253;"Drifter Commandments";2006
119;"Caper Motions";2006
399;"Happiness United";2006
700;"Prix Undefeated";2006
852;"Strangelove Desire";2006
270;"Earth Vision";2006
437;"House Dynamite";2006
518;"Liaisons Sweet";2006
620;"Nemo Campus";2006
268;"Early Home";2006
549;"Magnolia Forrester";2006
214;"Daughter Madigan";2006
310;"Fever Empire";2006
397;"Hanky October";2006
101;"Brotherhood Blanket";2006
836;"Squad Fish";2006
20;"Amelie Hellfighters";2006
339;"Frogmen Breaking";2006
486;"Jet Neighbors";2006
330;"Forrester Comancheros";2006
847;"Stock Glass";2006
82;"Blood Argonauts";2006
25;"Angels Life";2006
359;"Gladiator Westward";2006
213;"Date Speed";2006
26;"Annie Identity";2006
137;"Charade Duffel";2006
745;"Roses Treasure";2006
957;"War Notting";2006
265;"Dying Maker";2006
996;"Young Language";2006
379;"Greedy Roots";2006
405;"Haunted Antitrust";2006
292;"Excitement Eve";2006
168;"Comancheros Enemy";2006
136;"Chaplin License";2006
196;"Cruelty Unforgiven";2006
218;"Deceiver Betrayed";2006
910;"Treatment Jekyll";2006
373;"Graduate Lord";2006
238;"Doctor Grail";2006
27;"Anonymous Human";2006
969;"West Lion";2006
230;"Diary Panic";2006
883;"Tequila Past";2006
414;"Hellfighters Sierra";2006
785;"Shawshank Bubble";2006
449;"Identity Lover";2006
667;"Peach Innocent";2006
765;"Saturn Name";2006
942;"Vietnam Smoochy";2006
899;"Towers Hurricane";2006
786;"Shepherd Midsummer";2006
149;"Christmas Moonshine";2006
93;"Brannigan Sunrise";2006
733;"River Outlaw";2006
307;"Fellowship Autumn";2006
382;"Grit Clockwork";2006
335;"Freedom Cleopatra";2006
825;"Speakeasy Date";2006
706;"Queen Luke";2006
541;"Luke Mummy";2006
555;"Mallrats United";2006
838;"Stagecoach Armageddon";2006
554;"Malkovich Pet";2006
805;"Sleepless Monsoon";2006
191;"Crooked Frogmen";2006
774;"Searchers Wait";2006
815;"Snatchers Montezuma";2006
833;"Splendor Patton";2006
295;"Expendable Stallion";2006
714;"Random Go";2006
11;"Alamo Videotape";2006
135;"Chance Resurrection";2006
228;"Detective Vision";2006
252;"Dream Pickup";2006
523;"Lights Deer";2006
39;"Armageddon Lost";2006
537;"Lover Truman";2006
839;"Stallion Sundance";2006
834;"Spoilers Hellfighters";2006
882;"Tenenbaums Command";2006
508;"Lambs Cincinatti";2006
526;"Lock Rear";2006
489;"Juggler Hardly";2006
559;"Married Go";2006
131;"Center Dinosaur";2006
662;"Paths Control";2006
974;"Wild Apollo";2006
178;"Connection Microcosmos";2006
471;"Island Exorcist";2006
255;"Driving Polish";2006
241;"Donnie Alley";2006
357;"Gilbert Pelican";2006
465;"Interview Liaisons";2006
812;"Smoking Barbarella";2006
958;"Wardrobe Phantom";2006
17;"Alone Trip";2006
325;"Floats Garden";2006
66;"Beneath Rush";2006
142;"Chicken Hellfighters";2006
563;"Massacre Usual";2006
827;"Spice Sorority";2006
980;"Wizard Coldblooded";2006
479;"Jedi Beneath";2006
89;"Borrowers Bedazzled";2006
160;"Club Graffiti";2006
640;"Opus Ice";2006
861;"Suit Walls";2006
284;"Enemy Odds";2006
504;"Kwai Homeward";2006
33;"Apollo Teen";2006
512;"League Hellfighters";2006
633;"October Submarine";2006
816;"Snowman Rollercoaster";2006
900;"Town Ark";2006
779;"Sense Greek";2006
442;"Hunting Musketeers";2006
57;"Basic Easy";2006
109;"Butterfly Chocolat";2006
239;"Dogma Family";2006
31;"Apache Divine";2006
288;"Escape Metropolis";2006
914;"Trouble Date";2006
524;"Lion Uncut";2006
738;"Rocketeer Mother";2006
644;"Oscar Gold";2006
817;"Soldiers Evolution";2006
949;"Volcano Texas";2006
34;"Arabia Dogma";2006
505;"Labyrinth League";2006
763;"Satisfaction Confidential";2006
12;"Alaska Phantom";2006
296;"Express Lonely";2006
686;"Pluto Oleander";2006
282;"Encounters Curtain";2006
10;"Aladdin Calendar";2006
321;"Flash Wars";2006
428;"Homicide Peach";2006
324;"Flintstones Happiness";2006
684;"Pizza Jumanji";2006
18;"Alter Victory";2006
139;"Chasing Fight";2006
146;"Chitty Lock";2006
614;"Name Detective";2006
752;"Runner Madigan";2006
848;"Stone Fire";2006
143;"Chill Luck";2006
98;"Bright Encounters";2006
424;"Holocaust Highball";2006
594;"Montezuma Command";2006
193;"Crossroads Casualties";2006
381;"Grinch Massage";2006
927;"Uprising Uptown";2006
408;"Head Stranger";2006
655;"Panther Reds";2006
466;"Intolerable Intentions";2006
853;"Stranger Strangers";2006
243;"Doors President";2006
617;"Natural Stock";2006
674;"Pet Haunting";2006
167;"Coma Head";2006
995;"Yentl Idaho";2006
250;"Dragon Squad";2006
672;"Perfect Groove";2006
918;"Twisted Pirates";2006
64;"Beethoven Exorcist";2006
478;"Jaws Harry";2006
956;"Wanda Chamber";2006
145;"Chisum Behavior";2006
582;"Miracle Virtual";2006
777;"Secretary Rouge";2006
458;"Indian Love";2006
198;"Crystal Breaking";2006
104;"Bugsy Song";2006
629;"Notorious Reunion";2006
163;"Clyde Theory";2006
413;"Hedwig Alter";2006
102;"Bubble Grosse";2006
898;"Tourist Pelican";2006
315;"Finding Anaconda";2006
71;"Bilko Anonymous";2006
533;"Lost Bird";2006
588;"Model Fish";2006
2;"Ace Goldfinger";2006
796;"Sierra Divide";2006
72;"Bill Others";2006
343;"Full Flatliners";2006
624;"Nightmare Chill";2006
186;"Craft Outfield";2006
234;"Disturbing Scarface";2006
177;"Connecticut Tramp";2006
626;"Noon Papi";2006
823;"South Wait";2006
843;"Steel Santa";2006
346;"Galaxy Sweethearts";2006
705;"Purple Movie";2006
480;"Jeepers Wedding";2006
841;"Star Operation";2006
337;"Frida Slipper";2006
280;"Empire Malkovich";2006
727;"Resurrection Silverado";2006
886;"Theory Mermaid";2006
781;"Seven Swarm";2006
696;"Pride Alamo";2006
297;"Extraordinary Conquerer";2006
419;"Hocus Frida";2006
459;"Informer Double";2006
314;"Fight Jawbreaker";2006
938;"Velvet Terminator";2006
627;"North Tequila";2006
391;"Half Outfield";2006
444;"Hustler Party";2006
274;"Egg Igby";2006
400;"Hardly Robbers";2006
689;"Pollock Deliverance";2006
893;"Titans Jerk";2006
473;"Jacket Frisco";2006
636;"Oleander Clue";2006
1000;"Zorro Ark";2006
320;"Flamingos Connecticut";2006
426;"Home Pity";2006
595;"Moon Bunch";2006
819;"Song Hedwig";2006
47;"Baby Hall";2006
412;"Heavyweights Beast";2006
651;"Packer Madigan";2006
741;"Roman Punk";2006
813;"Smoochy Control";2006
211;"Darling Breaking";2006
46;"Autumn Crow";2006
83;"Blues Instinct";2006
970;"Westward Seabiscuit";2006
919;"Tycoon Gathering";2006
15;"Alien Center";2006
304;"Fargo Gandhi";2006
851;"Straight Hours";2006
361;"Gleaming Jawbreaker";2006
77;"Birds Perdition";2006
125;"Cassidy Wyoming";2006
140;"Cheaper Clyde";2006
474;"Jade Bunch";2006
687;"Pocus Pulp";2006
153;"Citizen Shrek";2006
73;"Bingo Talented";2006
631;"Novocaine Flight";2006
806;"Sleepy Japanese";2006
40;"Army Flintstones";2006
56;"Barefoot Manchurian";2006
182;"Control Anthem";2006
355;"Ghostbusters Elf";2006
590;"Money Harold";2006
579;"Minds Truman";2006
277;"Elephant Trojan";2006
729;"Rider Caddyshack";2006
946;"Virtual Spoilers";2006
123;"Casablanca Super";2006
261;"Duffel Apocalypse";2006
885;"Texas Watch";2006
348;"Gandhi Kwai";2006
984;"Wonderful Drop";2006
868;"Superfly Trip";2006
332;"Frankenstein Stranger";2006
891;"Timberland Sky";2006
965;"Watership Frontier";2006
468;"Invasion Cyclone";2006
880;"Telemark Heartbreakers";2006
333;"Freaky Pocus";2006
575;"Midsummer Groundhog";2006
730;"Ridgemont Submarine";2006
800;"Sinners Atlantis";2006
484;"Jerk Paycheck";2006
189;"Creatures Shakespeare";2006
915;"Truman Crazy";2006
569;"Menagerie Rushmore";2006
712;"Raiders Antitrust";2006
404;"Hate Handicap";2006
507;"Ladybugs Armageddon";2006
596;"Moonshine Cabin";2006
233;"Disciple Mother";2006
547;"Magic Mallrats";2006
923;"Unfaithful Kill";2006
485;"Jersey Sassy";2006
952;"Wagon Jaws";2006
997;"Youth Kick";2006
578;"Million Ace";2006
977;"Window Side";2006
556;"Maltese Hope";2006
376;"Grapes Fury";2006
226;"Destiny Saturday";2006
500;"Kiss Glory";2006
13;"Ali Forever";2006
723;"Reign Gentlemen";2006
879;"Telegraph Voyage";2006
515;"Legally Secretary";2006
566;"Maude Mod";2006
91;"Bound Cheaper";2006
642;"Order Betrayed";2006
695;"President Bang";2006
737;"Rock Instinct";2006
770;"Scissorhands Slums";2006
433;"Horn Working";2006
303;"Fantasy Troopers";2006
540;"Lucky Flying";2006
293;"Exorcist Sting";2006
543;"Madigan Dorado";2006
365;"Gold River";2006
610;"Music Boondock";2006
782;"Shakespeare Saddle";2006
532;"Loser Hustler";2006
869;"Suspects Quills";2006
165;"Coldblooded Darling";2006
287;"Entrapment Satisfaction";2006
748;"Rugrats Shakespeare";2006
837;"Stage World";2006
21;"American Circus";2006
976;"Wind Phantom";2006
897;"Torque Bound";2006
152;"Circus Youth";2006
475;"Japanese Run";2006
536;"Lovely Jingle";2006
719;"Records Zorro";2006
401;"Harold French";2006
570;"Mermaid Insects";2006
5;"African Egg";2006
281;"Encino Elf";2006
462;"Insider Arizona";2006
301;"Family Sweet";2006
461;"Insects Stone";2006
181;"Contact Anonymous";2006
499;"King Evolution";2006
789;"Shock Cabin";2006
340;"Frontier Cabin";2006
593;"Monterey Labyrinth";2006
498;"Killer Innocent";2006
367;"Goldmine Tycoon";2006
661;"Past Suicides";2006
822;"Soup Wisdom";2006
392;"Hall Cassidy";2006
983;"Won Dares";2006
896;"Tootsie Pilot";2006
979;"Witches Panic";2006
994;"Wyoming Storm";2006
298;"Eyes Driving";2006
609;"Muscle Bright";2006
429;"Honey Ties";2006
718;"Rebel Airport";2006
519;"Liberty Magnificent";2006
432;"Hope Tootsie";2006
846;"Sting Personal";2006
673;"Personal Ladybugs";2006
690;"Pond Seattle";2006
931;"Valentine Vanishing";2006
112;"Calendar Gunfight";2006
254;"Driver Annie";2006
625;"None Spiking";2006
656;"Papi Necklace";2006
96;"Breaking Home";2006
694;"Prejudice Oleander";2006
581;"Minority Kiss";2006
863;"Sun Confessions";2006
818;"Something Duck";2006
396;"Hanging Deep";2006
107;"Bunch Minds";2006
679;"Pilot Hoosiers";2006
820;"Sons Interview";2006
954;"Wake Jaws";2006
493;"Kane Exorcist";2006
935;"Vanished Garden";2006
600;"Motions Details";2006
319;"Fish Opus";2006
937;"Varsity Trip";2006
530;"Lord Arizona";2006
221;"Deliverance Mulholland";2006
775;"Seattle Expecations";2006
435;"Hotel Happiness";2006
889;"Ties Hunger";2006
653;"Panic Club";2006
654;"Panky Submarine";2006
576;"Mighty Luck";2006
759;"Salute Apollo";2006
258;"Drums Dynamite";2006
19;"Amadeus Holy";2006
108;"Butch Panther";2006
398;"Hanover Galaxy";2006
589;"Modern Dorado";2006
913;"Troopers Metal";2006
643;"Orient Closer";2006
966;"Wedding Apollo";2006
215;"Dawn Pond";2006
65;"Behavior Runaway";2006
52;"Ballroom Mockingbird";2006
317;"Fireball Philadelphia";2006
366;"Goldfinger Sensibility";2006
635;"Oklahoma Jumanji";2006
440;"Hunger Roof";2006
37;"Arizona Bang";2006
85;"Bonnie Holocaust";2006
32;"Apocalypse Flamingos";2006
421;"Holiday Games";2006
546;"Madre Gables";2006
358;"Gilmore Boiled";2006
164;"Coast Rainbow";2006
701;"Psycho Shrunk";2006
326;"Flying Hook";2006
736;"Robbery Bright";2006
704;"Pure Runner";2006
78;"Blackout Private";2006
278;"Elf Murder";2006
941;"Videotape Arsenic";2006
603;"Movie Shakespeare";2006
875;"Talented Homicide";2006
133;"Chamber Italian";2006
289;"Eve Resurrection";2006
637;"Open African";2006
279;"Elizabeth Shane";2006
100;"Brooklyn Desert";2006
443;"Hurricane Affair";2006
416;"Highball Potter";2006
492;"Jungle Closer";2006
638;"Operation Operation";2006
755;"Sabrina Midnight";2006
758;"Saints Bride";2006
