"count";"city"
1;"Asuncin"
1;"Rae Bareli"
1;"Molodetno"
1;"Yerevan"
1;"Vitria de Santo Anto"
1;"Surakarta"
1;"Baiyin"
1;"Ogbomosho"
1;"Rockford"
1;"Portoviejo"
1;"Moscow"
1;"Coatzacoalcos"
1;"Shimoga"
1;"Munger (Monghyr)"
1;"Yuzhou"
1;"Nagareyama"
1;"Batman"
1;"Omiya"
1;"Merlo"
1;"Laiwu"
1;"Korolev"
1;"Syktyvkar"
1;"Jinzhou"
1;"Santa Brbara dOeste"
1;"Sincelejo"
1;"Cheju"
1;"San Juan Bautista Tuxtepec"
1;"Ourense (Orense)"
1;"Botosani"
1;"Mardan"
1;"Aden"
1;"Miraj"
1;"Klerksdorp"
1;"Qinhuangdao"
1;"Chapra"
1;"Bydgoszcz"
1;"Bislig"
1;"Valencia"
1;"Esfahan"
1;"Songkhla"
1;"Gingoog"
1;"Brockton"
1;"Jalib al-Shuyukh"
1;"al-Qadarif"
1;"Changzhou"
1;"Sucre"
1;"Florencia"
1;"Jamalpur"
1;"Rajkot"
1;"Jinchang"
1;"Sumqayit"
1;"Greensboro"
1;"Monywa"
1;"Higashiosaka"
1;"Cuautla"
1;"Nanyang"
1;"Southampton"
1;"Mwene-Ditu"
1;"NDjamna"
1;"Bhusawal"
1;"Mit Ghamr"
1;"Kimberley"
1;"Pemalang"
1;"York"
1;"Dhaka"
1;"Sanaa"
1;"Gulbarga"
1;"Phnom Penh"
1;"Hidalgo"
1;"Hamilton"
1;"al-Hawiya"
1;"Kanchrapara"
1;"Udaipur"
1;"Jaroslavl"
1;"Meixian"
1;"Luzinia"
1;"Arlington"
1;"Tafuna"
1;"Weifang"
1;"Halifax"
1;"Bern"
1;"Skikda"
1;"Onomichi"
1;"Antofagasta"
1;"Lausanne"
1;"Hunuco"
1;"Ondo"
1;"Santo Andr"
1;"Denizli"
1;"Novi Sad"
1;"Citt del Vaticano"
1;"Hubli-Dharwad"
1;"Blumenau"
1;"Newcastle"
1;"Shivapuri"
1;"Naju"
1;"Nador"
1;"Satna"
1;"Cianjur"
1;"Jos Azueta"
1;"Syrakusa"
1;"Warren"
1;"Serpuhov"
1;"Davao"
1;"Sanya"
1;"Pachuca de Soto"
1;"Sokoto"
1;"Emeishan"
1;"Udine"
1;"Gatineau"
1;"Haining"
1;"Mandaluyong"
1;"Tonghae"
1;"Celaya"
1;"Mexicali"
1;"Pereira"
1;"Joliet"
1;"Uruapan"
1;"Jedda"
1;"Kakamigahara"
1;"Papeete"
1;"Teboksary"
1;"Buenaventura"
1;"Sharja"
1;"Parbhani"
1;"Guaruj"
1;"Tsuyama"
1;"Adoni"
1;"Sultanbeyli"
1;"Goinia"
1;"Izumisano"
1;"Katihar"
1;"Richmond Hill"
1;"Rizhao"
1;"Toulon"
1;"Graz"
1;"Tambaram"
1;"Shaoguan"
1;"Rampur"
1;"Ktahya"
1;"So Bernardo do Campo"
1;"Pak Kret"
1;"Malm"
1;"Emmen"
1;"Pudukkottai"
1;"Valle de Santiago"
1;"Kaliningrad"
1;"Southport"
1;"Pyongyang"
1;"Qomsheh"
1;"Arak"
1;"Shubra al-Khayma"
1;"Xiangtan"
1;"Okinawa"
1;"Bucuresti"
1;"Cape Coral"
1;"Fengshan"
1;"Vaduz"
1;"Chiayi"
1;"Daxian"
1;"Vancouver"
1;"Banjul"
1;"Loja"
1;"Nantou"
1;"Karnal"
1;"San Bernardino"
1;"Lincoln"
1;"Dos Quebradas"
1;"Yantai"
1;"Ciomas"
1;"Mogiljov"
1;"Lhokseumawe"
1;"Tsaotun"
1;"Hiroshima"
1;"Iwakuni"
1;"Tychy"
1;"Dzerzinsk"
1;"Escobar"
1;"Kaduna"
1;"Clarksville"
1;"Tabriz"
1;"Stockport"
1;"Abu Dhabi"
1;"Xintai"
1;"Usak"
1;"Zaria"
1;"Ikerre"
1;"Funafuti"
1;"Atinsk"
1;"Taguig"
1;"Salamanca"
1;"Okara"
1;"Kamyin"
1;"Baybay"
1;"Benin City"
1;"Pune"
1;"Ziguinchor"
1;"Isesaki"
1;"Madiun"
1;"Cuman"
1;"Jelets"
1;"Tangail"
1;"Baicheng"
1;"Kilis"
1;"Firozabad"
1;"Tama"
1;"Cuauhtmoc"
1;"Benguela"
1;"San Miguel de Tucumn"
1;"Haldia"
1;"Hanoi"
1;"Tegal"
1;"Sambhal"
1;"Tiefa"
1;"Yangor"
1;"Valparai"
1;"Koriyama"
1;"Kumbakonam"
1;"Purwakarta"
1;"Urawa"
1;"Dhule (Dhulia)"
1;"San Lorenzo"
1;"Nha Trang"
1;"Binzhou"
1;"Sal"
1;"Chandrapur"
1;"Deba Habe"
1;"Chisinau"
1;"Springs"
1;"Zalantun"
1;"Ashgabat"
1;"El Monte"
1;"Salzburg"
1;"Garland"
1;"Bellevue"
1;"Laredo"
1;"Zaoyang"
1;"Datong"
1;"Callao"
1;"Tuguegarao"
1;"Suihua"
1;"Ruse"
1;"Crdoba"
1;"Ashqelon"
1;"Allappuzha (Alleppey)"
1;"El Fuerte"
1;"Boksburg"
1;"Soshanguve"
1;"Yamuna Nagar"
1;"Lima"
1;"Saint-Denis"
1;"Bhilwara"
1;"Brindisi"
1;"Cayenne"
1;"Livorno"
1;"Akishima"
1;"Sterling Heights"
1;"Coquimbo"
1;"Bhavnagar"
1;"Acua"
1;"Laohekou"
1;"Otsu"
1;"Talavera"
1;"Lubumbashi"
1;"Elista"
1;"Bratislava"
